"en","key","enAbbrev","Spanish","write-in","esAbbrev","es","✓","Portuguese","write-in","ptAbbrev","pt","✓","French","write-in","frAbbrev","fr","✓","Hebrew","write-in","heAbbrev","he","✓","Arabic","write-in","arAbbrev","ar","✓","Hindi","write-in","hiAbbrev","hi","✓","Bengali","write-in","bnAbbrev","bn","✓","Oriya","write-in","orAbbrev","or","✓","as","asAbbrev","✓","Indonesian","write-in","idAbbrev","id","✓","Russian","write-in","ruAbbrev","ru","✓","Mandarin Chinese (simplified)","write-in","zhAbbrev","zh","✓","Hausa","write-in","haAbbrev","ha","✓","Swahili","write-in","swAbbrev","sw","✓","Amharic","write-in","amAbbrev","am","✓","Thai","write-in","thAbbrev","th","✓","Malay","write-in","msAbbrev","ms","✓","Filipino","write-in","filAbbrev","fil","✓","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"diminutive","dim","dim","diminutivo","diminutivo","dim","diminutivo","TRUE","diminutivo","diminutivo","","diminutivo","TRUE","diminutif","diminutif","dim.","diminutif","TRUE","צוּרַת הַקטָנָה","צורת הקטנה","","צורת הקטנה","TRUE","صيغة التصغير","صيغة التصغير","","صيغة التصغير","FALSE","अल्पार्थक","अल्पार्थक, लघुतावाची","","अल्पार्थक, लघुतावाची","TRUE","সঙ্কুচিত","ক্ষুদ্র","ক্ষু.","ক্ষুদ্র","TRUE","diminutive","","","diminutive","FALSE","","","FALSE","kecil","diminutif","","diminutif","TRUE","крохотный","диминутив","","диминутив","TRUE","爱称","","","爱称","FALSE","gajeren","","","gajeren","FALSE","diminutive","udogo","ud","udogo","TRUE","ድንቢጦችን","ማቆላመጫ","","ማቆላመጫ","TRUE","เล็ก","","","เล็ก","FALSE","diminutive.","diminutif","","diminutif","TRUE","diminutive","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"animate noun","na","na","animado sustantivo","sustantivo animado","s.anim","sustantivo animado","TRUE","animado substantivo","substantivo animado","","substantivo animado","TRUE","Animer nom","nom animé","n. anim.","nom animé","TRUE","ניפשת עצם","שם עצם חי/בעל נפש","","שם עצם חי/בעל נפש","TRUE","الأرواح إسم","اسم للعاقل","","اسم للعاقل","FALSE","चेतन संज्ञा","सजीव संज्ञा","","सजीव संज्ञा","TRUE","সজীব বিশেষ্য","প্রাণীবাচক বিশেষ্য","প্রা.বি.","প্রাণীবাচক বিশেষ্য","TRUE","ଆପଣ ନିଶ୍ଚିତ ବିଶେଷ୍ୟ","","","ଆପଣ ନିଶ୍ଚିତ ବିଶେଷ୍ୟ","FALSE","","","FALSE","bernyawa kata benda","nomina bernyawa","","nomina bernyawa","TRUE","одушевленное существительное","","","одушевленное существительное","TRUE","动画名词","","","动画名词","FALSE","mai rai suna","","","mai rai suna","FALSE","animate nomino","Nomino hisivu","nm.h","Nomino hisivu","TRUE","ሕያዋንና ስም","ሕያው ስም","","ሕያው ስም","TRUE","นามแฝง","","","นามแฝง","FALSE","Animate Noun.","kata nama bernyawa","","kata nama bernyawa","TRUE","I-animate ang pangngalan","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"inanimate noun","ni","ni","sustantivo inanimado","sustantivo inanimado","s.inam","sustantivo inanimado","TRUE","substantivo inanimada","substantivo inanimado","","substantivo inanimado","TRUE","inanimé nom","nom inanimé","n. inam.","nom inanimé","TRUE","עצם דומם","שם עצם דומם","","שם עצם דומם","TRUE","إسم جماد","اسم لغير العاقل","","اسم لغير العاقل","FALSE","निर्जीव संज्ञा","निर्जीव संज्ञा","","निर्जीव संज्ञा","TRUE","জড় বিশেষ্য","অপ্রাণীবাচক বিশেষ্য","প্রা.বি.","অপ্রাণীবাচক বিশেষ্য","TRUE","inanimate ବିଶେଷ୍ୟ","","","inanimate ବିଶେଷ୍ୟ","FALSE","","","FALSE","kata benda mati","nomina tak bernyawa","","nomina tak bernyawa","TRUE","неодушевленное существительное","","","неодушевленное существительное","TRUE","无生命的名词","","","无生命的名词","FALSE","matattun suna","","","matattun suna","FALSE","inanimate nomino","Nomino isohisivu","nm.ih","Nomino isohisivu","TRUE","ግዑዝ ስም","ግዑዝ ስም","","ግዑዝ ስም","TRUE","คำนามที่ไม่มีชีวิต","","","คำนามที่ไม่มีชีวิต","FALSE","Noun yang tidak bernyawa","kata nama tidak bernyawa","","kata nama tidak bernyawa","TRUE","walang buhay na pangngalan","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"plural","pl","pl","plural","plural","pl","plural","TRUE","plural","plural","","plural","TRUE","pluriel","pluriel","pl.","pluriel","TRUE","רַבִּים","רבים","","רבים","TRUE","جمع","جمع","","جمع","FALSE","बहुवचन","बहुवचन","","बहुवचन","TRUE","বহুবচন","বহুবচন","বহু.ব.","বহুবচন","TRUE","ବହୁବଚନ","","","ବହୁବଚନ","FALSE","","","FALSE","jamak","jamak","","jamak","TRUE","множественное число","","","множественное число","TRUE","复数","","","复数","FALSE","jam'i","","","jam'i","FALSE","wingi","Wingi","w","Wingi","TRUE","የብዙ ቁጥር","የብዙ ቁጥር","","የብዙ ቁጥር","TRUE","พหูพจน์","","","พหูพจน์","FALSE","majmuk","jamak","","jamak","TRUE","maramihan","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"prenoun","pn","pn","Pronombre","prenombre","pren","prenombre","TRUE","prenoun","pré-nome","","pré-nome","TRUE","prenoun","prénominal","pré.","prénominal","TRUE","גוף תיאורים","תיאור-מקדים-שם","","תיאור-מקדים-שם","FALSE","prenoun","ما يسبق الاسم","","ما يسبق الاسم","FALSE","prenoun","पूर्वसंज्ञा","","पूर्वसंज्ञा","TRUE","সর্বনাম","বিশেষ্য পূর্ব","বি.পূ.","বিশেষ্য পূর্ব","TRUE","prenoun","","","prenoun","FALSE","","","FALSE","prenoun","pranomina","","pranomina","TRUE","prenoun","преноминальная частица/слово","","преноминальная частица/слово","TRUE","prenoun","","","prenoun","FALSE","prenoun","","","prenoun","FALSE","Kielezi","Kiambishiawali Nomino","kaw.nm","Kiambishiawali Nomino","TRUE","የቅድመ","ቅድመ ስም","","ቅድመ ስም","TRUE","ปรี","","","ปรี","FALSE","prenoun.","prenoun","","prenoun","TRUE","prenoun.","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preverb","pv","pv","preverbio","preverbo","prev","preverbo","TRUE","preverb","pré-verbo","","pré-verbo","TRUE","préverbe","préverbe","prév.","préverbe","TRUE","preverb","תיאור-מקדים-פועל","","תיאור-מקדים-פועל","FALSE","preverb","مايسبق الفعل","","مايسبق الفعل","FALSE","preverb","पूर्वक्रिया","","पूर्वक्रिया","TRUE","preverb","ক্রিয়াপূর্ব","ক্রি.পূ.","ক্রিয়াপূর্ব","TRUE","preverb","","","preverb","FALSE","","","FALSE","preverb","praverba","","praverba","TRUE","preverb","преверб","","преверб","TRUE","preverb","","","preverb","FALSE","preverb","","","preverb","FALSE","preverb","Kiambishiawali kitenzi","kaw.kt","Kiambishiawali kitenzi","TRUE","preverb","ቅድመ ግሥ","","ቅድመ ግሥ","TRUE","preverb","","","preverb","FALSE","PreverB.","preverb","","preverb","TRUE","Preverb","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"prenoun / preverb","pn/v","pn/v","Pronombre / preverbio","prenombre / preverbo","pren/prev","prenombre / preverbo","TRUE","prenoun / preverb","pré-nome/pré-verbo","","pré-nome/pré-verbo","TRUE","prenoun / préverbe","prénom / préverbe","pré. / prév.","prénom / préverbe","TRUE","גוף תיאורים / preverb","תיאור מקדים","","תיאור מקדים","FALSE","prenoun / preverb","ما يسبق الاسم/ الفعل","","ما يسبق الاسم/ الفعل","FALSE","prenoun / preverb","पूर्वसंज्ञा / पूर्वक्रिया","","पूर्वसंज्ञा / पूर्वक्रिया","TRUE","সর্বনাম / preverb","বিশেষ্য পূর্ব/ক্রিয়াপূর্ব","বি.পূ./ক্রি.পূ.","বিশেষ্য পূর্ব/ক্রিয়াপূর্ব","TRUE","prenoun / preverb","","","prenoun / preverb","FALSE","","","FALSE","prenoun / preverb","pranomina/praverba","","pranomina/praverba","TRUE","prenoun / preverb","","","prenoun / preverb","TRUE","prenoun / preverb","","","prenoun / preverb","FALSE","prenoun / preverb","","","prenoun / preverb","FALSE","Kielezi / preverb","Kiambishiawali Nomino / kitenzi","ka.nm / kt","Kiambishiawali Nomino / kitenzi","TRUE","የቅድመ / preverb","ቅድመ ስም/ ቅድመ ግሥ","","ቅድመ ስም/ ቅድመ ግሥ","TRUE","Prenoun / Preverb","","","Prenoun / Preverb","FALSE","Prenoun / PreverB.","prenoun / preverb","","prenoun / preverb","TRUE","Prenoun / Preverb","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"animate pronoun","pro.a","pro.a","animado pronombre","pronombre animado","pro.anim","pronombre animado","TRUE","animado pronome","pronome animado","","pronome animado","TRUE","Animer pronom","pronom animé","pr. anim. ","pronom animé","TRUE","הנפשת כנוי","כינוי גוף לחי/בעל נפש","","כינוי גוף לחי/בעל נפש","TRUE","تحريك الضمير","ضمير للعاقل","","ضمير للعاقل","FALSE","चेतन सर्वनाम","सजीव सर्वनाम","","सजीव सर्वनाम","TRUE","সজীব সর্বনাম","প্রাণীবাচক সর্বনাম","প্রা.সর্ব.","প্রাণীবাচক সর্বনাম","TRUE","ଆପଣ ନିଶ୍ଚିତ ବିଶେଷଣ","","","ଆପଣ ନିଶ୍ଚିତ ବିଶେଷଣ","FALSE","","","FALSE","bernyawa ganti","pronomina bernyawa","","pronomina bernyawa","TRUE","одушевленные местоимения","одушевленное местоимение","","одушевленное местоимение","TRUE","动画的代名词","","","动画的代名词","FALSE","mai rai wakilin suna","","","mai rai wakilin suna","FALSE","animate kiwakilishi","Kiwakilishi hisivu","kw.h","Kiwakilishi hisivu","TRUE","ሕያዋንና ተውላጠ ስም","ሕያው ተውላጠስም","","ሕያው ተውላጠስም","TRUE","สรรพนามเคลื่อนไหว","","","สรรพนามเคลื่อนไหว","FALSE","Animate Pronoun.","kata ganti nama bernyawa","","kata ganti nama bernyawa","TRUE","I-animate ang Pronoun.","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"inanimate pronoun","pro.i","pro.i","pronombre inanimado","pronombre inanimado","pro.inam","pronombre inanimado","TRUE","pronome inanimada","pronome inanimado","","pronome inanimado","TRUE","pronom inanimé","pronom inanimé","pr. inam.","pronom inanimé","TRUE","כנוי דומם","כינוי גוף לדומם","","כינוי גוף לדומם","TRUE","الضمير جماد","ضمير لغير العاقل","","ضمير لغير العاقل","FALSE","निर्जीव सर्वनाम","निर्जीव सर्वनाम","","निर्जीव सर्वनाम","TRUE","জড় সর্বনাম","অপ্রাণীবাচক সর্বনাম","অপ্রা.সর্ব.","অপ্রাণীবাচক সর্বনাম","TRUE","inanimate ବିଶେଷଣ","","","inanimate ବିଶେଷଣ","FALSE","","","FALSE","kata ganti benda mati","pronomina tak bernyawa","","pronomina tak bernyawa","TRUE","неодушевленные местоимения","неодушевленное местоимение","","неодушевленное местоимение","TRUE","无生命的代名词","","","无生命的代名词","FALSE","matattun wakilin suna","","","matattun wakilin suna","FALSE","inanimate kiwakilishi","Kiwakilishi isohisivu","kw.ih","Kiwakilishi isohisivu","TRUE","ግዑዝ ተውላጠ ስም","ግዑዝ ተውላጠ ስም","","ግዑዝ ተውላጠ ስም","TRUE","สรรพนามที่ไม่มีชีวิต","","","สรรพนามที่ไม่มีชีวิต","FALSE","kata ganti perkataan yang tidak bernyawa","kata ganti nama tidak bernyawa","","kata ganti nama tidak bernyawa","TRUE","walang buhay na panghalip","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"reduplication","redup","redup","reduplicación","reduplicación","redup","reduplicación","TRUE","reduplicação","reduplicação","","reduplicação","TRUE","redoublement","réduplication","rédupl. ","réduplication","TRUE","הַכפָּלָה","הכפלה","","הכפלה","FALSE","مضاعفة","صيغة التكرار/ المضاعفة","","صيغة التكرار/ المضاعفة","FALSE","दोहराव","पुनरुक्ति","","पुनरुक्ति","TRUE","দ্বিত্ব","দ্বিত্বায়ন","দ্বি.","দ্বিত্বায়ন","TRUE","reduplication","","","reduplication","FALSE","","","FALSE","reduplikasi","reduplikasi","","reduplikasi","TRUE","редупликация","","","редупликация","TRUE","重叠式","","","重叠式","FALSE","reduplication","","","reduplication","FALSE","reduplication","Uradidi","ur","Uradidi","TRUE","reduplication","ተደጋጋሚ","","ተደጋጋሚ","TRUE","การอัดขึ้นใหม่","","","การอัดขึ้นใหม่","FALSE","reduplication.","penggandaan","","penggandaan","TRUE","reduplication.","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"reflexive","refl","refl","reflexivo","reflexivo","refl","reflexivo","TRUE","reflexivo","reflexivo","","reflexivo","TRUE","réfléchi","réflexif","réfl. ","réflexif","TRUE","רפלקסיבי","רפלקסיבי (חוזר)","","רפלקסיבי (חוזר)","TRUE","انعكاسي","الصيغة الانعكاسية","","الصيغة الانعكاسية","FALSE","कर्मकर्त्ता","निजवाचक","","निजवाचक","TRUE","আত্মবাচক","আত্মবাচক","আবা.","আত্মবাচক","TRUE","ରିଫ୍ଲେକ୍ସିଭ୍","","","ରିଫ୍ଲେକ୍ସିଭ୍","FALSE","","","FALSE","refleksif","refleksif","","refleksif","TRUE","возвратный","","","возвратный","TRUE","反思","","","反思","FALSE","turawa yanzu","","","turawa yanzu","FALSE","reflexive","Jirejee","jr","Jirejee","TRUE","አገናዛቢ","ውስጠ ገብ","","ውስጠ ገብ","TRUE","สะท้อนกลับ","","","สะท้อนกลับ","FALSE","refleksif","kata refleksif","","kata refleksif","TRUE","mapanlinlang","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"animate intransitive verb","vai","vai","animado verbo intransitivo","verbo intransitivo animado","ver.intr.anim","verbo intransitivo animado","TRUE","animado intransitivo verbo","verbo intransitivo animado","","verbo intransitivo animado","TRUE","Animer intransitif verbe","verbe intransitif animé","v. intr. anim.","verbe intransitif animé","TRUE","ניפשת פועל עומד הפועל","פועל עומד (אינטרנזיטיבי): חי/בעל הפש","","פועל עומד (אינטרנזיטיבי): חי/בעל הפש","TRUE","الأرواح متعد الفعل","فعل لازم للعاقل","","فعل لازم للعاقل","FALSE","चेतन अकर्मक क्रिया","सजीव अकर्मक क्रिया","","सजीव अकर्मक क्रिया","TRUE","সজীব অকর্মক ক্রিয়া","প্রাণীবাচক অকর্মক ক্রিয়া","প্রা.অক.ক্রি.","প্রাণীবাচক অকর্মক ক্রিয়া","TRUE","ଆପଣ ନିଶ୍ଚିତ ଇଟ୍ରାଞ୍ଜିଟିଭ୍ କ୍ରିୟାପଦ","","","ଆପଣ ନିଶ୍ଚିତ ଇଟ୍ରାଞ୍ଜିଟିଭ୍ କ୍ରିୟାପଦ","FALSE","","","FALSE","bernyawa intransitif kata kerja","verba intrasitif bernyawa","","verba intrasitif bernyawa","TRUE","одушевленные непереходный глагол","одушевленный непереходный глагол","","одушевленный непереходный глагол","TRUE","动画不及物动词","","","动画不及物动词","FALSE","mai rai mara tsallakawa fi'ili","","","mai rai mara tsallakawa fi'ili","FALSE","animate intransitive kitenzi","Kitenzi kisoelekeza hisivu","kt.ks.h","Kitenzi kisoelekeza hisivu","TRUE","ሕያዋንና ኢተሻጋሪ ግስ","ሕያዋንና ኢተሻጋሪ ግስ","","ሕያዋንና ኢተሻጋሪ ግስ","TRUE","Animate กริยาอกรรมกริยา","","","Animate กริยาอกรรมกริยา","FALSE","animasi kata kerja intransitif","kata kerja tak transitif bernyawa","","kata kerja tak transitif bernyawa","TRUE","I-animate ang likas na pandiwa","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"animate / inanimate intransitive verb","vai/ii","vai/ii","animado / inanimado verbo intransitivo","verbo intransitivo animado / inanimado","ver.intr.anim/inam","verbo intransitivo animado / inanimado","TRUE","animado / inanimado intransitivo verbo","verbo intransitivo animado/inanimado","","verbo intransitivo animado/inanimado","TRUE","Animer / inanimé intransitif verbe","verbe intransitif animé / inanimé","v. intr. anim./inam.","verbe intransitif animé / inanimé","TRUE","הנפשת / דומם פועל עומד הפועל","פועל עומד (אינטרנזיטיבי): דומם או חי/בעל הפש","","פועל עומד (אינטרנזיטיבי): דומם או חי/בעל הפש","TRUE","الأرواح / جماد غير متعد الفعل","فعل لازم للعاقل وغير العاقل","","فعل لازم للعاقل وغير العاقل","FALSE","चेतन / निर्जीव अकर्मक क्रिया","सजीव / निर्जीव अकर्मक क्रिया","","सजीव / निर्जीव अकर्मक क्रिया","TRUE","সজীব / জড় অকর্মক ক্রিয়া","প্রাণীবাচক / অপ্রাণীবাচক . অকর্মক ক্রিয়া","প্রা./ অপ্রা.অক.ক্রি.","প্রাণীবাচক / অপ্রাণীবাচক . অকর্মক ক্রিয়া","TRUE","ଆପଣ ନିଶ୍ଚିତ / inanimate ଇଟ୍ରାଞ୍ଜିଟିଭ୍ କ୍ରିୟାପଦ","","","ଆପଣ ନିଶ୍ଚିତ / inanimate ଇଟ୍ରାଞ୍ଜିଟିଭ୍ କ୍ରିୟାପଦ","FALSE","","","FALSE","bernyawa / mati intransitif kata kerja","verba intrasitif bernyawa/tak bernyawa","","verba intrasitif bernyawa/tak bernyawa","TRUE","одушевленный / неодушевленный непереходный глагол","одушевленный / неодушевленный непереходный глагол","","одушевленный / неодушевленный непереходный глагол","TRUE","有生/无生命不及物动词","","","有生/无生命不及物动词","FALSE","mai rai / matattun mara tsallakawa fi'ili","","","mai rai / matattun mara tsallakawa fi'ili","FALSE","animate / inanimate intransitive kitenzi","Kitenzi kisoelekeza hisivu / isohisivu ","kt.ks.h / ih","Kitenzi kisoelekeza hisivu / isohisivu ","TRUE","ሕያዋንና / ግዑዛን ኢተሻጋሪ ግስ","ሕያዋንና / ግዑዛን የማይሻገር ግሥ","","ሕያዋንና / ግዑዛን የማይሻገር ግሥ","TRUE","Animate / Inanimate Ingransitive Verb","","","Animate / Inanimate Ingransitive Verb","FALSE","kata kerja intransitif animasi / tidak bernyawa","kata kerja tak transitif bernyawa / tidak bernyawa","","kata kerja tak transitif bernyawa / tidak bernyawa","TRUE","I-animate / walang buhay na likas na pandiwa","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"inanimate intransitive verb","vii","vii","inanimada verbo intransitivo","verbo intransitivo inanimado","ver.intr.inam","verbo intransitivo inanimado","TRUE","inanimado intransitivo verbo","verbo intransitivo inanimado","","verbo intransitivo inanimado","TRUE","inanimé intransitif verbe","verbe intransitif inanimé","v. intr. inam.","verbe intransitif inanimé","TRUE","דוממים פועלים עומדים הפועל","פועל עומד (אינטרנזיטיבי): דומם","","פועל עומד (אינטרנזיטיבי): דומם","TRUE","جماد غير متعد الفعل","فعل لازم لغير العاقل","","فعل لازم لغير العاقل","FALSE","निर्जीव अकर्मक क्रिया","निर्जीव अकर्मक क्रिया","","निर्जीव अकर्मक क्रिया","TRUE","জড় অকর্মক ক্রিয়া","অপ্রাণীবাচক অকর্মক ক্রিয়া","অপ্রা.অক.ক্রি.","অপ্রাণীবাচক অকর্মক ক্রিয়া","TRUE","inanimate ଇଟ୍ରାଞ୍ଜିଟିଭ୍ କ୍ରିୟାପଦ","","","inanimate ଇଟ୍ରାଞ୍ଜିଟିଭ୍ କ୍ରିୟାପଦ","FALSE","","","FALSE","mati intransitif kata kerja","verba intransitif tak bernyawa","","verba intransitif tak bernyawa","TRUE","неодушевленный непереходный глагол","","","неодушевленный непереходный глагол","TRUE","无生命不及物动词","","","无生命不及物动词","FALSE","matattun mara tsallakawa fi'ili","","","matattun mara tsallakawa fi'ili","FALSE","inanimate intransitive kitenzi","Kitenzi kisoelekeza isohisivu","kt.ke.h","Kitenzi kisoelekeza isohisivu","TRUE","ግዑዛን ኢተሻጋሪ ግስ","የማይሻገር ግኡዝ ግሥ","","የማይሻገር ግኡዝ ግሥ","TRUE","กริยาอกรรมกริยาไม่มีชีวิต","","","กริยาอกรรมกริยาไม่มีชีวิต","FALSE","kata kerja intransitif yang tidak bernyawa","kata kerja tak transitif tidak bernyawa","","kata kerja tak transitif tidak bernyawa","TRUE","walang buhay na likas na pandiwa","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"transitive animate verb","vta","vta","transitiva verbo animado","verbo transitivo animado","vta","verbo transitivo animado","TRUE","transitivo animado verbo","verbo transitivo animado","","verbo transitivo animado","TRUE","transitive Animer verbe","verbe animé transitif","v. anim. tr.","verbe animé transitif","TRUE","יוֹצֵא להנפיש הפועל","פועל יוצא (טרנזיטיבי): חי/בעל נפש","","פועל יוצא (טרנזיטיבי): חי/בעל נפש","TRUE","متعدية الأرواح الفعل","فعل متعدٍّ للعاقل","","فعل متعدٍّ للعاقل","FALSE","सकर्मक क्रिया चेतन","सजीव सकर्मक क्रिया","","सजीव सकर्मक क्रिया","TRUE","সকর্মক সজীব ক্রিয়া","প্রাণীবাচক সকর্মক . ক্রিয়া","প্রা.সক.ক্রি.","প্রাণীবাচক সকর্মক . ক্রিয়া","TRUE","ଟ୍ରାଞ୍ଜିଟିଭ୍ ଆପଣ ନିଶ୍ଚିତ କ୍ରିୟାପଦ","","","ଟ୍ରାଞ୍ଜିଟିଭ୍ ଆପଣ ନିଶ୍ଚିତ କ୍ରିୟାପଦ","FALSE","","","FALSE","transitif bernyawa kata kerja","verba transitif bernyawa","","verba transitif bernyawa","TRUE","транзитивный одушевленный глагол","","","транзитивный одушевленный глагол","TRUE","传递生命的动词","","","传递生命的动词","FALSE","tsallakawa mai rai fi'ili","","","tsallakawa mai rai fi'ili","FALSE","elekezi animate kitenzi","Kitenzi elekezi hisivu","kt.el.h","Kitenzi elekezi hisivu","TRUE","ተሻጋሪ ሕያዋንና ግስ","ተሻጋሪ ሕያው ግሥ","","ተሻጋሪ ሕያው ግሥ","TRUE","กริยาเคลื่อนไหวสกรรมกริยา","","","กริยาเคลื่อนไหวสกรรมกริยา","FALSE","kata kerja animasi transitif","kata kerja transitif bernyawa","","kata kerja transitif bernyawa","TRUE","Palipat animate verb","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"transitive inanimate verb","vti","vti","transitiva verbo inanimada","verbo transitivo inanimado","vti","verbo transitivo inanimado","TRUE","transitivo inanimado verbo","verbo transitivo inanimado","","verbo transitivo inanimado","TRUE","transitif inanimé verbe","verbe inanimé transitif","v. inam. tr. ","verbe inanimé transitif","TRUE","יוֹצֵא דומם הפועל","פועל יוצא (טרנזיטיבי): דומם","","פועל יוצא (טרנזיטיבי): דומם","TRUE","متعدية جماد الفعل","فعل متعدٍّ لغير العاقل","","فعل متعدٍّ لغير العاقل","FALSE","सकर्मक क्रिया निर्जीव","निर्जीव सकर्मक क्रिया","","निर्जीव सकर्मक क्रिया","TRUE","সকর্মক জড় ক্রিয়া","অপ্রাণীবাচক সকর্মক ক্রিয়া","অপ্রা.সক.ক্রি.","অপ্রাণীবাচক সকর্মক ক্রিয়া","TRUE","ଟ୍ରାଞ୍ଜିଟିଭ୍ inanimate କ୍ରିୟାପଦ","","","ଟ୍ରାଞ୍ଜିଟିଭ୍ inanimate କ୍ରିୟାପଦ","FALSE","","","FALSE","transitif mati verba","verba transitif tak bernyawa","","verba transitif tak bernyawa","TRUE","транзитивное неодушевленный глагол","транзитивный неодушевленный глагол","","транзитивный неодушевленный глагол","TRUE","传递无生命动词","","","传递无生命动词","FALSE","tsallakawa matattun fi'ili","","","tsallakawa matattun fi'ili","FALSE","elekezi inanimate kitenzi","Kitenzi elekezi isohisivu","kt.el.ih","Kitenzi elekezi isohisivu","TRUE","ተሻጋሪ ግዑዛን ግስ","ተሻጋሪ ግኡዝ ግሥ","","ተሻጋሪ ግኡዝ ግሥ","TRUE","คำกริยาที่ไม่มีที่สิ้นสุด","","","คำกริยาที่ไม่มีที่สิ้นสุด","FALSE","kata kerja yang tidak bernyawa","kata kerja transitif tidak bernyawa","","kata kerja transitif tidak bernyawa","TRUE","palipat ay walang buhay na pandiwa","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
