"en","vernacularName","vernacularAlternate","key","internalName","showKeyboard","useKeyboard","notes","Spanish","write-in","es","✓","Portuguese","write-in","pt","✓","French","write-in","fr","✓","Hebrew","write-in","he","✓","Arabic","write-in","ar","✓","Hindi","write-in","hi","✓","Bengali","write-in","bn","✓","Oriya","write-in","or","✓","as","✓","Indonesian","write-in","id","✓","Russian","write-in","ru","✓","Mandarin Chinese (simplified)","write-in","zh","✓","Hausa","write-in","ha","✓","Swahili","write-in","sw","✓","Amharic","write-in","am","✓","Thai","write-in","th","✓","Malay","write-in","ms","✓","Filipino","write-in","fil","✓","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Faroese","føroyskt","","fao","","","","","faroese","","faroese","FALSE","Faroese","Feroesa","Feroesa","TRUE","féroïen","","féroïen","FALSE","פארואזית","","פארואזית","FALSE","جزر فارو","","جزر فارو","FALSE","फिरोज़ी","","फिरोज़ी","FALSE","ফেরাউনি","ফেরোইজ ","ফেরোইজ ","TRUE","ଫାରୋଏସେ","","ଫାରୋଏସେ","FALSE","","FALSE","Faroe","Bahasa Faroe","Bahasa Faroe","TRUE","Фарерская","фарерский","фарерский","TRUE","法罗群岛","","法罗群岛","FALSE","Faroese","","Faroese","FALSE","Kifaroe","Kifaroe","Kifaroe","TRUE","ፋሮኛ","","ፋሮኛ","FALSE","ชาวฟาโร","","ชาวฟาโร","FALSE","Faroese.","Bahasa Faroe","Bahasa Faroe","TRUE","Faroese.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fijian","na vosa vaka-Viti","","fj","","","","","fiyiano","","fiyiano","FALSE","Fiji","Fiji","Fiji","TRUE","fidjien","","fidjien","FALSE","פיג'י","","פיג'י","FALSE","الفيجية","","الفيجية","FALSE","फिजी","","फिजी","FALSE","ফিজিও","ফিজিয়ান","ফিজিয়ান","TRUE","ଫିଜିଆନ୍","","ଫିଜିଆନ୍","FALSE","","FALSE","Fijian","Bahasa Fiji","Bahasa Fiji","TRUE","Fijian","фиджийский","фиджийский","TRUE","斐济","","斐济","FALSE","Fijian","","Fijian","FALSE","Kifiji","Kifiji","Kifiji","TRUE","ፊጂኛ","","ፊጂኛ","FALSE","ฟิจิ","","ฟิจิ","FALSE","Fijian","Bahasa Fiji","Bahasa Fiji","TRUE","Fijian.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Filipino","Wikang Pilipino","","fil","","","","","filipina","","filipina","FALSE","Filipino","Filipino","Filipino","TRUE","Philippines","","Philippines","FALSE","פיליפיני","","פיליפיני","FALSE","الفلبينية","","الفلبينية","FALSE","filipino","","filipino","FALSE","ফিলিপিনো","ফিলিপিনো","ফিলিপিনো","TRUE","ଫିଲିପିନୋ","","ଫିଲିପିନୋ","FALSE","","FALSE","Filipina","Bahasa Filipina","Bahasa Filipina","TRUE","Филиппинский","филиппинский","филиппинский","TRUE","菲律宾","","菲律宾","FALSE","Filipino","","Filipino","FALSE","filipino","Kifilipino","Kifilipino","TRUE","ፊሊፒኖ","","ፊሊፒኖ","FALSE","ฟิลิปปินส์","","ฟิลิปปินส์","FALSE","Bahasa Filipina","Bahasa Filipina","Bahasa Filipina","TRUE","Filipino","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Finnish","Suomen kieli","","fi","","","","","finlandés","","finlandés","FALSE","finlandês","Finlandês","Finlandês","TRUE","finlandais","","finlandais","FALSE","פִינִית","","פִינִית","FALSE","اللغة الفنلندية","","اللغة الفنلندية","FALSE","फिनिश","","फिनिश","FALSE","ফিনিশ","ফিনিশ","ফিনিশ","TRUE","ଫିନ୍ନିସ୍","","ଫିନ୍ନିସ୍","FALSE","","FALSE","Finlandia","Bahasa Finlandia","Bahasa Finlandia","TRUE","финский","","финский","TRUE","芬兰","","芬兰","FALSE","Finnish","","Finnish","FALSE","Kifini","Kifini","Kifini","TRUE","ፊኒሽ","","ፊኒሽ","FALSE","ฟินแลนด์","","ฟินแลนด์","FALSE","Finland.","Bahasa Finland","Bahasa Finland","TRUE","Finnish.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fon","Fɔngbè","","fon","","","","","fon","","fon","FALSE","Fon","Fon","Fon","TRUE","Fon","","Fon","FALSE","Fon","","Fon","FALSE","الفون","","الفون","FALSE","Fon","","Fon","FALSE","ফন","ফন","ফন","TRUE","FON","","FON","FALSE","","FALSE","Fon","Bahasa Fon","Bahasa Fon","TRUE","Fon","фон","фон","TRUE","丰文","","丰文","FALSE","Fon","","Fon","FALSE","fon","Fon","Fon","TRUE","ፎን","","ፎን","FALSE","ต้อ","","ต้อ","FALSE","Fon","Bahasa Fon","Bahasa Fon","TRUE","Fon.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"French","français","","fr","Keyboard_french","true","","","francés","francés","francés","TRUE","francês","Francês","Francês","TRUE","français","Français","Français","TRUE","צָרְפָתִית","צרפתית","צרפתית","TRUE","فرنسي","الفرنسية","الفرنسية","FALSE","फ्रेंच","","फ्रेंच","FALSE","ফরাসি","ফরাসি","ফরাসি","TRUE","ଫ୍ରେଞ୍ଚ","","ଫ୍ରେଞ୍ଚ","FALSE","","FALSE","Perancis","Bahasa Perancis","Bahasa Perancis","TRUE","французский язык","французский","французский","TRUE","法国","","法国","FALSE","Faransa","","Faransa","FALSE","Kifaransa","Kifaransa","Kifaransa","TRUE","ፈረንሳይኛ","ፈረንሳይኛ","ፈረንሳይኛ","TRUE","เกี่ยวกับฝรั่งเศส","","เกี่ยวกับฝรั่งเศส","FALSE","Bahasa Perancis","Bahasa Perancis","Bahasa Perancis","TRUE","Pranses","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Frisian","Frysk","","fry","","","","","frisio","","frisio","FALSE","frísio","Frísia","Frísia","TRUE","frison","","frison","FALSE","פריסיאן","","פריסיאן","FALSE","الفريزية","","الفريزية","FALSE","फ़्रिसियाई","","फ़्रिसियाई","FALSE","ফ্রিসিয়","ফরিশিয়ান","ফরিশিয়ান","TRUE","ଫ୍ରିସିଆନ୍","","ଫ୍ରିସିଆନ୍","FALSE","","FALSE","Frisian","Bahasa Frisia","Bahasa Frisia","TRUE","фризский","","фризский","TRUE","弗里斯兰","","弗里斯兰","FALSE","K'abilan Firsi","","K'abilan Firsi","FALSE","cha Magharibi","Kifrisia","Kifrisia","TRUE","ፍሪስኛ","","ፍሪስኛ","FALSE","ชาวฟริส","","ชาวฟริส","FALSE","Frisian.","Bahasa Frisian","Bahasa Frisian","TRUE","Frisian.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fula(h)/Fulani","Fulfulde* ","","ff","","","","","Fula (h) / Fulani","","Fula (h) / Fulani","FALSE","Fula (h) / fula","Fula","Fula","TRUE","Peul (h) / peul","","Peul (h) / peul","FALSE","פולה (ח) / פולאני","","פולה (ח) / פולאני","FALSE","فولا (ح) / الفولاني","","فولا (ح) / الفولاني","FALSE","Fula (ज) / फुलानी","","Fula (ज) / फुलानी","FALSE","ফুলা (জ) / ফুলানি","ফুলা (জ) / ফুলানী","ফুলা (জ) / ফুলানী","TRUE","Fula (H) / Fulani","","Fula (H) / Fulani","FALSE","","FALSE","Fula (h) / Fulani","Bahasa Fula (h) / Fulani","Bahasa Fula (h) / Fulani","TRUE","Фула (ч) / Фулань","фула","фула","TRUE","福拉（H）/拉尼","","福拉（H）/拉尼","FALSE","Fula (h) / Fulani","","Fula (h) / Fulani","FALSE","Fula (h) / Fulani","Fula (h) Fulani","Fula (h) Fulani","TRUE","የሃውሳና (ሸ) / Fulani","","የሃውሳና (ሸ) / Fulani","FALSE","ฟูลา (H) / ฟุลัง","","ฟูลา (H) / ฟุลัง","FALSE","Fula (h) / fulani","Bahasa Fula","Bahasa Fula","TRUE","Fula (h) / Fulani","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ga","Gã","","gaa","","","","","Georgia","","Georgia","FALSE","Ga","Ga","Ga","TRUE","Géorgie","","Géorgie","FALSE","ga","","ga","FALSE","الجا","","الجا","FALSE","गा","","गा","FALSE","গা","গা","গা","TRUE","GA","","GA","FALSE","","FALSE","Ga","Bahasa Ga","Bahasa Ga","TRUE","Джорджия","га","га","TRUE","嘎","","嘎","FALSE","ga","","ga","FALSE","Ga","Ga","Ga","TRUE","ጋ","","ጋ","FALSE","กา","","กา","FALSE","Ga.","Bahasa Ga","Bahasa Ga","TRUE","ga","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Galician","lingua Galega","","glg","","","","","gallego","","gallego","FALSE","galego","Galego","Galego","TRUE","Galice","","Galice","FALSE","גליציאנית","","גליציאנית","FALSE","الجاليكية","","الجاليكية","FALSE","गैलिशियन्","","गैलिशियन्","FALSE","গ্যালিশিয়","গ্যালিশিয়ান","গ্যালিশিয়ান","TRUE","Galician","","Galician","FALSE","","FALSE","galician","Bahasa Galisia","Bahasa Galisia","TRUE","Галицкая","галисийский","галисийский","TRUE","加利西亚","","加利西亚","FALSE","Bagalike","","Bagalike","FALSE","Kigalisia","Kigalisia","Kigalisia","TRUE","ጋላሺያን","","ጋላሺያን","FALSE","กาลิเซีย","","กาลิเซีย","FALSE","Galicia.","Bahasa Galicia","Bahasa Galicia","TRUE","Galician.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Garifuna","","Kali'ina","cab","","","","Kali'ina ??","Garifuna","","Garifuna","FALSE","Garifuna","Garífuna ","Garífuna ","TRUE","garifuna","","garifuna","FALSE","Garifuna","","Garifuna","FALSE","الغاريفونا","","الغاريفونا","FALSE","Garifuna","","Garifuna","FALSE","Garifuna,","গারিফিং ","গারিফিং ","TRUE","Garifuna","","Garifuna","FALSE","","FALSE","Garifuna","Bahasa Garifuna","Bahasa Garifuna","TRUE","Гарифуна","гарифуна","гарифуна","TRUE","加里富纳","","加里富纳","FALSE","Garifuna","","Garifuna","FALSE","Garifuna","Garifuna","Garifuna","TRUE","በጋሪፉና","","በጋሪፉና","FALSE","garifuna","","garifuna","FALSE","Garifuna.","Bahasa Garifuna","Bahasa Garifuna","TRUE","Garifuna.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Gbaya","Ngbàkà","Manza","gba","","","","","gbaya","","gbaya","FALSE","Gbaya","Gbaya","Gbaya","TRUE","Gbaya","","Gbaya","FALSE","Gbaya","","Gbaya","FALSE","Gbaya","","Gbaya","FALSE","Gbaya","","Gbaya","FALSE","বায়ার","জিবয়া","জিবয়া","TRUE","Gbaya","","Gbaya","FALSE","","FALSE","Gbaya","Bahasa Gbaya","Bahasa Gbaya","TRUE","Gbaya","гбайя","гбайя","TRUE","Gbaya","","Gbaya","FALSE","Gbaya","","Gbaya","FALSE","Gbaya","Gbaya","Gbaya","TRUE","Gbaya","","Gbaya","FALSE","gbaya","","gbaya","FALSE","GBAYA","Bahasa Gbaya","Bahasa Gbaya","TRUE","Gbaya","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Georgian","ქართული","Kartuli","ka","Keyboard_georgian","true","","Longer version: ქართული ენა, kartuli ena; Keyboard_basic_kbdgeome doesn't work","georgiano","georgiano","georgiano","TRUE","georgiano","Georgiana","Georgiana","TRUE","géorgien","Géorgien","Géorgien","TRUE","הגאורגי","גאורגית","גאורגית","TRUE","الجورجية","الجورجية","الجورجية","FALSE","जॉर्जियाई","","जॉर्जियाई","FALSE","জর্জিয়ান","জর্জিয়ান","জর্জিয়ান","TRUE","ଜର୍ଜିଆନ୍","","ଜର୍ଜିଆନ୍","FALSE","","FALSE","Georgia","Bahasa Georgia","Bahasa Georgia","TRUE","грузинский","","грузинский","TRUE","格鲁吉亚","","格鲁吉亚","FALSE","Jojiyanci","","Jojiyanci","FALSE","Kijiojia","Kijiojia","Kijiojia","TRUE","ጆርጅያን","","ጆርጅያን","FALSE","จอร์เจีย","","จอร์เจีย","FALSE","Georgia","Bahasa Georgia","Bahasa Georgia","TRUE","Georgian","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"German","Deutsch","","de","Keyboard_european","","","","alemán","alemán","alemán","TRUE","alemão","Alemão","Alemão","TRUE","allemand","Allemand","Allemand","TRUE","גֶרמָנִיָת","גרמנית","גרמנית","TRUE","ألمانية","الألمانية","الألمانية","FALSE","जर्मन","","जर्मन","FALSE","জার্মান","জার্মান","জার্মান","TRUE","ଜର୍ମାନ୍","","ଜର୍ମାନ୍","FALSE","","FALSE","Jerman","Bahasa Jerman","Bahasa Jerman","TRUE","Немецкий","немецкий","немецкий","TRUE","德语","","德语","FALSE","Jamus","","Jamus","FALSE","german","Kijerumani","Kijerumani","TRUE","ጀርመንኛ","ጀርመንኛ","ጀርመንኛ","FALSE","ภาษาเยอรมัน","","ภาษาเยอรมัน","FALSE","Jerman","Bahasa Jerman","Bahasa Jerman","TRUE","Aleman","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Gonja","Ngbanyito","","gjn","","","","","gonja","","gonja","FALSE","Gonja","Gonja","Gonja","TRUE","gonja","","gonja","FALSE","Gonja","","Gonja","FALSE","غونغا","","غونغا","FALSE","gonja","","gonja","FALSE","Gonja","গনিয়া ","গনিয়া ","TRUE","Gonja","","Gonja","FALSE","","FALSE","gonja","Bahasa Gonja","Bahasa Gonja","TRUE","Gonja","гонжа","гонжа","TRUE","Gonja","","Gonja","FALSE","Gonja","","Gonja","FALSE","gonja","Gonja","Gonja","TRUE","Gonja","","Gonja","FALSE","กอนจา","","กอนจา","FALSE","Gonja","Bahasa Gonja","Bahasa Gonja","TRUE","Gonja.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Gorontalo","Gorontalo","","gor","","","","","Gorontalo","","Gorontalo","FALSE","Gorontalo","Gorontalo","Gorontalo","TRUE","Gorontalo","","Gorontalo","FALSE","גורונטלו","","גורונטלו","FALSE","جورونتالو","","جورونتالو","FALSE","गोरोन्तालो","","गोरोन्तालो","FALSE","গোরোন্তালো","গরণটালো ","গরণটালো ","TRUE","Gorontalo ରେ","","Gorontalo ରେ","FALSE","","FALSE","Gorontalo","Bahasa Gorontalo","Bahasa Gorontalo","TRUE","Горонтало","горонтало","горонтало","TRUE","哥伦打洛","","哥伦打洛","FALSE","Gorontalo","","Gorontalo","FALSE","Gorontalo","Gorontalo","Gorontalo","TRUE","Gorontalo","","Gorontalo","FALSE","gorontalo","","gorontalo","FALSE","Gorontalo.","Bahasa Gorontalo","Bahasa Gorontalo","TRUE","Gorontalo.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Gourmanchema","Gourmanchema","","gux","","","","","Gourmanchema","","Gourmanchema","FALSE","Gourmanchema","Gourmanchema","Gourmanchema","TRUE","Gourmanchema","","Gourmanchema","FALSE","Gourmanchema","","Gourmanchema","FALSE","Gourmanchema","","Gourmanchema","FALSE","Gourmanchema","","Gourmanchema","FALSE","Gourmanchema","গোরমনচমা","গোরমনচমা","TRUE","Gourmanchema","","Gourmanchema","FALSE","","FALSE","Gourmanchema","Bahasa Gourmanchema","Bahasa Gourmanchema","TRUE","Gourmanchema","гурманчема","гурманчема","TRUE","Gourmanchema","","Gourmanchema","FALSE","Gourmanchema","","Gourmanchema","FALSE","Gourmanchema","Gourmanchema","Gourmanchema","TRUE","Gourmanchema","","Gourmanchema","FALSE","gourmanchema","","gourmanchema","FALSE","Gourmanchema","Bahasa Gourmanchema","Bahasa Gourmanchema","TRUE","Gourmanchema.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greek","ελληνικά","","el","","","","","griego","","griego","FALSE","grego","Grego","Grego","TRUE","grec","","grec","FALSE","יווני","","יווני","FALSE","اليونانية","","اليونانية","FALSE","यूनानी","","यूनानी","FALSE","গ্রিক","গ্রীক","গ্রীক","TRUE","ଗ୍ରୀକ୍","","ଗ୍ରୀକ୍","FALSE","","FALSE","Yunani","Bahasa Yunani","Bahasa Yunani","TRUE","греческий","","греческий","TRUE","希腊语","","希腊语","FALSE","Greek","","Greek","FALSE","greek","Kigiriki","Kigiriki","TRUE","ግሪክኛ","ግሪክኛ","ግሪክኛ","TRUE","กรีก","","กรีก","FALSE","Greek","Bahasa Yunani","Bahasa Yunani","TRUE","Griyego","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Guarani","Guaraní","avañe’ẽ","gn","Keyboard_european","","","","guaraní","guaraní","guaraní","TRUE","Guarani","Guarani","Guarani","TRUE","Guarani","Guarani","Guarani","TRUE","גוארני","","גוארני","TRUE","غواراني","الغوارانية","الغوارانية","FALSE","गुआरानी","","गुआरानी","FALSE","গুয়ারানি","গ্যারানি","গ্যারানি","TRUE","ଗୌରାନି","","ଗୌରାନି","FALSE","","FALSE","Guarani","Bahasa Guarani","Bahasa Guarani","TRUE","Гуарани","гуарани","гуарани","TRUE","瓜拉尼","","瓜拉尼","FALSE","Guwaraniyanci","","Guwaraniyanci","FALSE","Guarani","Kiguarani","Kiguarani","TRUE","ጉራኒኛ","ጉራኒኛ","ጉራኒኛ","TRUE","guarani","","guarani","FALSE","Guarani.","Bahasa Guarani","Bahasa Guarani","TRUE","Guarani","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Guinea-Bissau Creole","Crioulo","","pov","","","","","Guinea Bissau criolla","","Guinea Bissau criolla","FALSE","Crioulo da Guiné-Bissau","Crioulo da Guiné-Bissau","Crioulo da Guiné-Bissau","TRUE","Guinée-Bissau Créole","","Guinée-Bissau Créole","FALSE","גינאה ביסאו קריאולי","","גינאה ביסאו קריאולי","FALSE","غينيا بيساو الكريول","","غينيا بيساو الكريول","FALSE","गिनी-बिसाऊ क्रियोल","","गिनी-बिसाऊ क्रियोल","FALSE","গিনি-বিসাউ ক্রেওল","গিনি-বসাউ ক্রিওল","গিনি-বসাউ ক্রিওল","TRUE","ଗିନି-ବିସାଉ Creole","","ଗିନି-ବିସାଉ Creole","FALSE","","FALSE","Guinea-Bissau Creole","Bahasa Kreol Guinea-Bissau","Bahasa Kreol Guinea-Bissau","TRUE","Гвинея-Бисау креольский","","Гвинея-Бисау креольский","TRUE","几内亚比绍克里奥尔语","","几内亚比绍克里奥尔语","FALSE","Guinea-Bissau Creole","","Guinea-Bissau Creole","FALSE","Ginebisau Creole","Kikreoli cha Guinea-Bissau","Kikreoli cha Guinea-Bissau","TRUE","ጊኒ-ቢሳው ክሪኦል","","ጊኒ-ቢሳው ክሪኦል","FALSE","กินีบิสเซาครีโอล","","กินีบิสเซาครีโอล","FALSE","Guinea-Bissau Creole","Bahasa Kreol Guinea-Bissau","Bahasa Kreol Guinea-Bissau","TRUE","Guinea-Bissau Creole.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Gujarati","Gujarātī","","guj","","","","*in own script","gujarati","","gujarati","FALSE","Gujarati","Guzerate ","Guzerate ","TRUE","gujarati","","gujarati","FALSE","גוג'ראטית","","גוג'ראטית","FALSE","الغوجاراتية","","الغوجاراتية","FALSE","गुजराती","","गुजराती","FALSE","গুজরাটি","গুজরাটি","গুজরাটি","TRUE","ଗୁଜରାତୀ","","ଗୁଜରାତୀ","FALSE","","FALSE","Gujarati","Bahasa Gujarat","Bahasa Gujarat","TRUE","гуджарати","","гуджарати","TRUE","古吉拉特语","","古吉拉特语","FALSE","Gujarati","","Gujarati","FALSE","Kigujarati","Kigujarati","Kigujarati","TRUE","ጉጅራቲ","","ጉጅራቲ","FALSE","คุชราต","","คุชราต","FALSE","Gujarati","Bahasa Gujarat","Bahasa Gujarat","TRUE","Gujarati","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hausa","Harshen Hausa","هَرْشَن هَوْسَ","ha","Keyboard_naijanfd10","true","","","Hausa","hausa","hausa","TRUE","Hausa","Hauça","Hauça","TRUE","haoussa","Hausa","Hausa","TRUE","האוסה","","האוסה","TRUE","الهوسا","لغة الهوسا","لغة الهوسا","FALSE","होउसा","","होउसा","FALSE","হাউসা","হাউসা","হাউসা","TRUE","Hausa","","Hausa","FALSE","","FALSE","Hausa","Bahasa Hausa","Bahasa Hausa","TRUE","хауса","","хауса","TRUE","豪萨语","","豪萨语","FALSE","Hausa","","Hausa","FALSE","Hausa","Kihausa","Kihausa","TRUE","ሃውሳ","","ሃውሳ","FALSE","hausa","","hausa","FALSE","Hausa.","Bahasa Hausa","Bahasa Hausa","TRUE","Hausa","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hebrew","עברית","","he","","","","","hebreo","hebreo","hebreo","TRUE","hebraico","Hebraico","Hebraico","TRUE","hébreu","Hébreu","Hébreu","TRUE","עִברִית","עברית","עברית","TRUE","اللغة العبرية","العبرية","العبرية","FALSE","यहूदी","","यहूदी","FALSE","হিব্রু","হিব্রু","হিব্রু","TRUE","ହେବ୍ର୍ୟୁ","","ହେବ୍ର୍ୟୁ","FALSE","","FALSE","Ibrani","Bahasa Ibrani","Bahasa Ibrani","TRUE","иврит","","иврит","TRUE","希伯来语","","希伯来语","FALSE","Hebrew","","Hebrew","FALSE","Hebrew","Kiebrania","Kiebrania","TRUE","ሂብሩ","","ሂብሩ","FALSE","ชาวฮีบรู","","ชาวฮีบรู","FALSE","Ibrani","Bahasa Ibrani","Bahasa Ibrani","TRUE","Hebreo","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Herero","Otjiherero","","hz","","","","","herero","","herero","FALSE","Herero","Herero","Herero","TRUE","Herero","","Herero","FALSE","הררו","","הררו","FALSE","هيريرو","","هيريرو","FALSE","हेरेरो","","हेरेरो","FALSE","হেরেরো","হিরো","হিরো","TRUE","Herero","","Herero","FALSE","","FALSE","Herero","Bahasa Herero","Bahasa Herero","TRUE","гереро","","гереро","TRUE","赫勒娄族","","赫勒娄族","FALSE","Herero","","Herero","FALSE","Herero","Kiherero","Kiherero","TRUE","ሄሬሮ","","ሄሬሮ","FALSE","herero","","herero","FALSE","Herero.","Bahasa Herero","Bahasa Herero","TRUE","Herero","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
